image,band,method,inlier_residual,num_inliers,NMI,GCC,crop_size
DJI_20251107113346_0038,G,Global,1.0438,1669,0.046563,0.157819,2664*3066
DJI_20251107113346_0038,G,Proposed,1.1269,3607,0.050738,0.178222,4329*3231
DJI_20251107113346_0038,R,Initial,NaN,2206,0.004578,0.029793,N/A
DJI_20251107113346_0038,R,Global,1.0608,1577,0.032740,0.175244,2664*3066
DJI_20251107113346_0038,R,Proposed,1.0621,2206,0.034463,0.188715,4329*3231
DJI_20251107113346_0038,NIR,Initial,NaN,3934,0.006024,0.022805,N/A
DJI_20251107113346_0038,NIR,Global,1.0770,2040,0.054108,0.184007,2664*3066
DJI_20251107113346_0038,NIR,Proposed,1.0097,3934,0.058856,0.206510,4329*3231
DJI_20251107113346_0038,RE,Initial,NaN,3460,0.002552,0.000054,N/A
DJI_20251107113346_0038,RE,Global,1.1737,1727,0.040134,0.162629,2664*3066
DJI_20251107113346_0038,RE,Proposed,0.6000,3460,0.042987,0.181545,4329*3231
DJI_20251107113348_0039,G,Initial,NaN,4380,0.002708,0.015126,N/A
DJI_20251107113348_0039,G,Global,0.6022,2099,0.053262,0.175607,2647*3226
DJI_20251107113348_0039,G,Proposed,1.0487,4380,0.057990,0.197750,4307*3220
DJI_20251107113348_0039,R,Initial,NaN,2035,0.005096,0.041372,N/A
DJI_20251107113348_0039,R,Global,1.0933,1443,0.030266,0.153536,2647*3226
DJI_20251107113348_0039,R,Proposed,1.1126,2035,0.031471,0.166082,4307*3220
DJI_20251107113348_0039,NIR,Initial,NaN,3782,0.004521,0.021709,N/A
DJI_20251107113348_0039,NIR,Global,1.1095,1600,0.052873,0.167691,2647*3226
DJI_20251107113348_0039,NIR,Proposed,1.0343,3782,0.057229,0.184759,4307*3220
DJI_20251107113348_0039,RE,Initial,NaN,2509,0.002287,0.002518,N/A
DJI_20251107113348_0039,RE,Global,1.1189,1498,0.041721,0.136947,2647*3226
DJI_20251107113348_0039,RE,Proposed,1.1258,2509,0.045553,0.156541,4307*3220
DJI_20251107113350_0040,G,Initial,NaN,4157,0.002891,0.014288,N/A
DJI_20251107113350_0040,G,Global,1.2718,1938,0.048921,0.162414,2625*3231
DJI_20251107113350_0040,G,Proposed,0.6394,4157,0.054051,0.183755,4308*3227
DJI_20251107113350_0040,R,Initial,NaN,2533,0.004959,0.039077,N/A
DJI_20251107113350_0040,R,Global,1.2831,1257,0.029096,0.126070,2625*3231
DJI_20251107113350_0040,R,Proposed,1.1461,2533,0.030947,0.146167,4308*3227
DJI_20251107113350_0040,NIR,Initial,NaN,3750,0.004802,0.020989,N/A
DJI_20251107113350_0040,NIR,Global,1.3114,1799,0.051586,0.167378,2625*3231
DJI_20251107113350_0040,NIR,Proposed,0.6923,3750,0.055216,0.186724,4308*3227
DJI_20251107113350_0040,RE,Initial,NaN,3479,0.002421,0.003221,N/A
DJI_20251107113350_0040,RE,Global,1.2322,1708,0.043240,0.155512,2625*3231
DJI_20251107113350_0040,RE,Proposed,0.6960,3479,0.045990,0.174909,4308*3227
DJI_20251107113352_0041,G,Initial,NaN,3965,0.002219,0.009077,N/A
DJI_20251107113352_0041,G,Global,1.1278,1875,0.046169,0.151714,2616*3098
DJI_20251107113352_0041,G,Proposed,0.7081,3965,0.051236,0.176301,4318*3190
DJI_20251107113352_0041,R,Initial,NaN,2337,0.002918,0.013807,N/A
DJI_20251107113352_0041,R,Global,1.1209,1089,0.028290,0.120950,2616*3098
DJI_20251107113352_0041,R,Proposed,1.1148,2337,0.029778,0.134963,4318*3190
DJI_20251107113352_0041,NIR,Initial,NaN,3499,0.003785,0.010711,N/A
DJI_20251107113352_0041,NIR,Global,0.8879,2053,0.057245,0.177351,2616*3098
DJI_20251107113352_0041,NIR,Proposed,1.1869,3499,0.062284,0.197808,4318*3190
DJI_20251107113352_0041,RE,Initial,NaN,2886,0.001784,-0.002396,N/A
DJI_20251107113352_0041,RE,Global,1.1741,1514,0.040216,0.158040,2616*3098
DJI_20251107113352_0041,RE,Proposed,1.2093,2886,0.044525,0.179225,4318*3190
DJI_20251107113356_0043,G,Initial,NaN,5768,0.003583,0.022300,N/A
DJI_20251107113356_0043,G,Global,1.1649,2706,0.057210,0.184498,2797*2617
DJI_20251107113356_0043,G,Proposed,0.9335,5768,0.064022,0.210366,4334*3224
DJI_20251107113356_0043,R,Initial,NaN,4045,0.006014,0.043790,N/A
DJI_20251107113356_0043,R,Global,0.6892,2015,0.045841,0.191645,2797*2617
DJI_20251107113356_0043,R,Proposed,0.9676,4045,0.048386,0.212290,4334*3224
DJI_20251107113356_0043,NIR,Initial,NaN,6495,0.006278,0.034925,N/A
DJI_20251107113356_0043,NIR,Global,0.8605,3164,0.076116,0.255017,2797*2617
DJI_20251107113356_0043,NIR,Proposed,0.7084,6495,0.082534,0.281464,4334*3224
DJI_20251107113356_0043,RE,Initial,NaN,5029,0.003533,0.016654,N/A
